px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
16.7366	19.2094	4.70974	2.5202	0.546635	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.68691
16.5437	19.3655	4.74241	2.54289	0.543154	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.22023
16.3053	19.5347	4.86476	2.56942	0.542625	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.798157
16.0865	19.6206	4.83063	2.6113	0.556682	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	9.96323
15.8769	19.7645	4.86376	2.63326	0.552063	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.713793
15.6911	19.8816	4.78864	2.64851	0.535126	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.72916
15.4487	20.0383	4.90081	2.66883	0.529907	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.26806
15.2313	20.1826	4.92787	2.68283	0.516752	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	6.02762
15.0482	20.3035	4.87493	2.69914	0.509435	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	2.21086
14.8192	20.3897	4.8715	2.72982	0.513701	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	1.84661
14.6036	20.5042	4.87759	2.74914	0.508725	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.778455
14.3639	20.5976	4.91634	2.77733	0.51271	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	0.951025
14.1182	20.6707	4.93281	2.80786	0.516479	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.551476
13.8786	20.7468	4.95483	2.83663	0.520721	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.223623
13.6	20.8141	5.03091	2.86818	0.524745	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	1.37501
13.3456	20.8546	5.07703	2.90793	0.541472	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.45553
13.1073	20.8933	5.04467	2.93885	0.54463	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.229283
12.8719	20.952	5.02939	2.96198	0.541516	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.79189
12.6911	20.9868	4.89077	2.98631	0.540169	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	2.22237
12.4303	21.0312	4.94937	3.01288	0.540931	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.55975
12.1871	21.0676	4.94923	3.03751	0.53903	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.113065
11.9447	21.0897	4.9637	3.06624	0.542578	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	1.09351
11.7097	21.0616	4.91555	3.10568	0.55263	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	2.11606
